insight_id,call_id,summary,tone,pending_items,sales_opportunities,issues
271,271,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
272,272,A conversation about Account setup: Assistance with opening a new TFSA..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
273,273,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
274,274,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
275,275,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
276,276,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
277,277,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
278,278,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
279,279,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
280,280,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
281,281,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
282,282,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
283,283,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
284,284,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
285,285,A conversation about Account setup: Assistance with opening a new TFSA..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
286,286,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
287,287,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
288,288,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
289,289,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
290,290,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
291,291,A conversation about Account setup: Assistance with opening a new TFSA..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
292,292,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
293,293,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
294,294,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
295,295,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
296,296,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
297,297,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
298,298,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
299,299,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
300,300,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
301,301,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
302,302,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
303,303,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
304,304,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
305,305,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
306,306,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
307,307,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
308,308,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
309,309,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
310,310,A conversation about Account setup: Assistance with opening a new TFSA..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
311,311,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
312,312,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
313,313,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
314,314,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
315,315,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
316,316,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
317,317,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
318,318,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
319,319,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
320,320,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
321,321,A conversation about Account setup: Assistance with opening a new TFSA..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
322,322,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
323,323,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
324,324,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
325,325,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
326,326,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
327,327,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
328,328,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
329,329,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
330,330,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
331,331,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
332,332,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
333,333,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
334,334,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
335,335,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
336,336,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
337,337,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
338,338,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
339,339,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
340,340,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
341,341,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
342,342,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
343,343,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
344,344,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
345,345,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
346,346,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
347,347,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
348,348,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
349,349,A conversation about Account setup: Assistance with opening a new TFSA..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
350,350,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
351,351,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
352,352,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
353,353,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
354,354,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
355,355,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
356,356,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
357,357,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
358,358,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
359,359,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
360,360,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
361,361,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
362,362,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
363,363,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
364,364,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
365,365,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
366,366,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
367,367,A conversation about Account setup: Assistance with opening a new TFSA..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
368,368,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
369,369,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
370,370,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
371,371,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
372,372,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
373,373,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
374,374,A conversation about Account setup: Assistance with opening a new TFSA..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
375,375,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
